id,age,two_year_recid,priors_count,length_of_stay,c_charge_degree_F,c_charge_degree_M,sex_Female,sex_Male,race
1,69,0,0,0,1,0,0,1,0
3,34,1,0,10,1,0,0,1,1
4,24,1,4,1,1,0,0,1,1
7,44,0,0,1,0,1,0,1,0
8,41,1,14,6,1,0,0,1,0
9,43,0,3,0,1,0,0,1,0
10,39,0,0,2,0,1,1,0,0
14,27,0,0,1,1,0,0,1,0
15,23,1,3,4,0,1,0,1,1
16,37,0,0,0,0,1,1,0,0
18,41,0,0,0,1,0,0,1,1
19,47,1,1,14,1,0,1,0,0
20,31,1,7,3,1,0,0,1,1
21,37,0,0,0,0,1,0,1,0
22,25,0,3,1,1,0,0,1,1
23,31,1,6,1,1,0,0,1,0
24,31,1,5,1,1,0,0,1,0
25,64,1,13,1,1,0,0,1,1
26,21,1,1,3,1,0,0,1,1
27,27,1,0,0,0,1,0,1,0
28,21,0,0,1,1,0,1,0,0
30,24,1,1,0,1,0,0,1,0
32,43,0,1,1,0,1,0,1,0
33,32,0,0,1,0,1,0,1,0
37,27,1,8,17,1,0,0,1,1
39,26,1,5,0,1,0,0,1,1
40,33,1,0,37,1,0,0,1,1
41,30,1,9,44,1,0,0,1,0
42,32,1,4,1,1,0,0,1,1
45,55,0,0,2,1,0,0,1,0
50,49,1,7,3,1,0,0,1,0
52,33,1,4,11,0,1,1,0,0
53,24,1,1,1,0,1,0,1,0
54,34,1,21,33,1,0,0,1,1
55,29,0,0,-1,0,1,0,1,0
56,21,0,2,79,1,0,1,0,1
57,51,0,2,1,0,1,0,1,1
59,29,1,2,0,0,1,0,1,0
61,51,0,7,1,1,0,1,0,1
64,29,1,0,0,1,0,0,1,1
66,25,1,9,6,0,1,0,1,0
67,35,1,13,0,1,0,0,1,1
68,49,0,0,0,0,1,0,1,0
70,29,0,0,0,1,0,0,1,1
71,29,1,1,0,1,0,0,1,0
72,28,0,0,0,1,0,1,0,0
79,31,0,15,135,1,0,0,1,1
80,24,1,2,1,1,0,0,1,1
83,30,0,0,23,0,1,0,1,0
84,49,0,4,0,0,1,0,1,1
85,53,0,8,13,1,0,0,1,0
87,35,0,5,0,1,0,0,1,1
90,27,1,15,1,1,0,0,1,1
91,38,1,4,1,0,1,0,1,0
93,22,1,1,1,1,0,0,1,1
96,29,1,4,18,1,0,0,1,1
97,62,0,0,-1,0,1,0,1,0
98,27,1,6,30,1,0,0,1,1
99,33,0,0,1,0,1,0,1,0
100,56,0,0,3,0,1,1,0,1
101,45,1,6,241,1,0,0,1,0
102,22,0,1,1,1,0,0,1,0
105,39,0,1,4,0,1,0,1,1
107,29,1,5,1,1,0,0,1,1
108,27,1,1,14,1,0,0,1,0
111,40,0,2,3,1,0,0,1,1
113,22,1,1,16,0,1,0,1,1
114,22,0,0,57,1,0,0,1,0
115,26,1,1,2,1,0,1,0,1
119,32,0,0,1,1,0,0,1,1
120,41,0,1,1,0,1,0,1,1
122,30,1,8,1,0,1,0,1,1
127,50,1,0,0,1,0,0,1,0
128,25,1,14,7,1,0,0,1,1
130,20,1,0,1,1,0,0,1,0
131,22,1,2,30,1,0,0,1,1
136,35,0,1,0,0,1,1,0,1
137,36,1,9,3,1,0,0,1,1
138,26,1,7,0,1,0,0,1,0
139,21,1,1,3,1,0,0,1,0
142,25,1,9,0,1,0,0,1,0
145,20,0,0,0,1,0,1,0,0
146,39,1,2,-1,1,0,0,1,0
148,54,0,0,0,0,1,1,0,0
150,44,0,0,1,0,1,1,0,0
151,19,1,1,9,0,1,0,1,1
153,30,0,1,0,1,0,0,1,1
154,39,1,0,1,1,0,1,0,0
156,24,1,8,12,1,0,0,1,0
157,30,0,0,5,1,0,0,1,0
158,31,0,0,38,0,1,0,1,0
159,39,0,1,106,1,0,1,0,0
163,43,0,1,1,1,0,0,1,0
166,21,1,3,6,1,0,0,1,1
169,38,1,5,2,0,1,0,1,0
171,34,0,0,14,1,0,0,1,0
173,33,1,5,0,1,0,0,1,1
174,37,0,3,1,1,0,0,1,1
175,42,1,1,0,1,0,0,1,0
176,41,1,10,176,1,0,0,1,1
177,22,1,0,0,1,0,0,1,1
178,33,1,28,1,1,0,0,1,1
180,31,0,1,1,0,1,0,1,1
182,30,0,1,1,1,0,1,0,0
183,31,1,13,471,1,0,0,1,0
184,27,1,3,0,1,0,0,1,1
189,52,0,3,0,0,1,0,1,0
190,33,1,19,0,1,0,0,1,1
194,42,0,6,-1,1,0,0,1,0
195,25,0,2,3,1,0,1,0,0
197,30,0,1,3,0,1,0,1,0
200,37,0,2,1,0,1,1,0,0
202,28,1,0,0,0,1,0,1,0
203,24,0,0,2,0,1,1,0,1
206,29,1,10,7,1,0,1,0,0
208,44,1,2,-1,0,1,0,1,0
210,32,1,3,8,1,0,0,1,1
213,31,1,2,15,0,1,0,1,0
215,31,0,1,1,0,1,0,1,1
216,59,1,1,0,1,0,0,1,0
220,20,0,1,2,1,0,1,0,1
222,43,0,0,0,0,1,1,0,0
223,38,1,9,13,1,0,0,1,1
224,32,1,11,1,1,0,0,1,1
225,33,1,8,0,0,1,0,1,1
227,31,1,0,1,1,0,1,0,1
